,PLAYER,TEAM_x,Lg_Pos,Marg_Val,PlayerBid,AUC180,Bargain
9,Victor Hedman,TBL,D,31,31.46776406035665,31.860095389507155,-0.3923313291505046
16,Torey Krug,BOS,D,26,26.392318244170095,9.157392686804451,17.234925557365642
20,P.K. Subban,NJD,D,23,23.34705075445816,23.084260731319553,0.26279002313860644
30,Erik Karlsson,SJS,D,18,18.271604938271604,41.87599364069953,-23.604388702427922
32,Brent Burns,SJS,D,18,18.271604938271604,42.25755166931637,-23.985946731044766
39,Dustin Byfuglien,WPG,D,15,15.22633744855967,15.73926868044515,-0.5129312318854797
40,John Carlson,WSH,D,14,14.21124828532236,26.327503974562802,-12.116255689240441
41,John Klingberg,DAL,D,14,14.21124828532236,15.453100158982512,-1.241851873660151
49,Kris Letang,PIT,D,13,13.196159122085048,18.124006359300477,-4.927847237215429
50,Shayne Gostisbehere,PHI,D,13,13.196159122085048,1.2400635930047696,11.956095529080278
51,Roman Josi,NSH,D,13,13.196159122085048,24.992050874403816,-11.795891752318768
53,Keith Yandle,FLA,D,12,12.181069958847738,4.1971383147853745,7.9839316440623636
55,Morgan Rielly,TOR,D,11,11.165980795610425,13.259141494435614,-2.093160698825189
56,Jacob Trouba,NYR,D,11,11.165980795610425,2.0985691573926872,9.067411638217738
61,Cale Makar,COL,D,8,8.12071330589849,3.5294117647058827,4.591301541192609
66,Rasmus Dahlin,BUF,D,6,6.090534979423869,5.723370429252783,0.3671645501710863
68,Mark Giordano,CGY,D,6,6.090534979423869,8.012718600953896,-1.922183621530027
70,Oliver Ekman-Larsson,ARI,D,5,5.075445816186557,2.384737678855326,2.6907081373312307
72,Tyson Barrie,TOR,D,5,5.075445816186557,10.111287758346581,-5.035841942160024
74,Matt Dumba,MIN,D,5,5.075445816186557,3.14785373608903,1.9275920800975266
78,Dougie Hamilton,CAR,D,4,4.060356652949245,3.2432432432432434,0.817113409706002
80,Justin Faulk,CAR,D,4,4.060356652949245,1.0492845786963436,3.011072074252902
84,Erik Gustafsson,CHI,D,3,3.0452674897119345,3.815580286168521,-0.7703127964565866
87,Drew Doughty,LAK,D,2,2.0301783264746227,3.624801271860095,-1.5946229453854723
